,Product Name,Product URL,Tags
10,Embellished Bollywood Lycra Blend Saree,https://www.flipkart.com/mijaashree-embellished-bollywood-lycra-blend-saree/p/itm5cc398c8d6471?pid=SARGBH8GBRXZTZZJ&lid=LSTSARGBH8GBRXZTZZJYHQTSW&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_41&otracker=browse&fm=organic&iid=en_zMLOXeJFWsoVAKnxl6pegFSGmBYNGLpYxEeeMeE%2FAnPpff5PAIaYEGhlp5yDn1PuWkfUAbiEGS8ISNjFGR1uqw%3D%3D&ppt=None&ppn=None&ssid=vksf13zm5c0000001684822722638,"embellished,bollywood,lycra,blend,saree"
11,Printed Bollywood Georgette Saree,https://www.flipkart.com/v-shop-printed-bollywood-georgette-saree/p/itmefc16c684c730?pid=SARFX84R9ZH5VTAR&lid=LSTSARFX84R9ZH5VTARSDSE2L&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_45&otracker=browse&fm=organic&iid=d3a03fd0-d40e-490d-a60f-0354a7be05a5.SARFX84R9ZH5VTAR.SEARCH&ppt=None&ppn=None&ssid=vksf13zm5c0000001684822722638,"printed,bollywood,georgette,saree"
12,Woven Kanjivaram Jacquard Saree,https://www.flipkart.com/aadvika-woven-kanjivaram-jacquard-saree/p/itm79dbe4eee9b22?pid=SARGG9HHNCERH5SY&lid=LSTSARGG9HHNCERH5SYXCFPYR&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_49&otracker=browse&fm=organic&iid=d3a03fd0-d40e-490d-a60f-0354a7be05a5.SARGG9HHNCERH5SY.SEARCH&ppt=None&ppn=None&ssid=vksf13zm5c0000001684822722638,"woven,kanjivaram,jacquard,saree"
13,Embellished Bollywood Chiffon Saree,https://www.flipkart.com/vivan-fab-embellished-bollywood-chiffon-saree/p/itm5dcbd7ffdb14e?pid=SARGKNFGRK7GR4XG&lid=LSTSARGKNFGRK7GR4XG0FRPZV&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_53&otracker=browse&fm=organic&iid=d3a03fd0-d40e-490d-a60f-0354a7be05a5.SARGKNFGRK7GR4XG.SEARCH&ppt=None&ppn=None&ssid=vksf13zm5c0000001684822722638,"embellished,bollywood,chiffon,saree"
14,Embroidered Bollywood Net Saree,https://www.flipkart.com/griventom-creation-embroidered-bollywood-net-saree/p/itm4cc8b0336e95f?pid=SARGFZ6PZUT8W9TJ&lid=LSTSARGFZ6PZUT8W9TJRGVN8D&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_57&otracker=browse&fm=organic&iid=en_zMLOXeJFWsoVAKnxl6pegFSGmBYNGLpYxEeeMeE%2FAnN%2Ffmawf2c6MtsJUJW00veBvII3B8RpW0drek8OqQxXvQ%3D%3D&ppt=None&ppn=None&ssid=vksf13zm5c0000001684822722638,"embroidered,bollywood,net,saree"
15,Woven Bollywood Jacquard Saree,https://www.flipkart.com/dhanlaxmi-creationllp-woven-bollywood-jacquard-saree/p/itmf02580ffeccd0?pid=SARGH6CZQB2PFZ6Y&lid=LSTSARGH6CZQB2PFZ6Y0ZMKNN&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_61&otracker=browse&fm=organic&iid=en_zMLOXeJFWsoVAKnxl6pegFSGmBYNGLpYxEeeMeE%2FAnOICwMCFfHgT9PUHQnGn9f5gdJR5XJht3Vvp2Nd8HgKsA%3D%3D&ppt=None&ppn=None&ssid=vksf13zm5c0000001684822722638,"woven,bollywood,jacquard,saree"
16,Embellished Bollywood Net Saree,https://www.flipkart.com/fervik-fashion-embellished-bollywood-net-saree/p/itm74fdcfe845971?pid=SARGK4DYTGEUPR4E&lid=LSTSARGK4DYTGEUPR4EW8SOOC&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_65&otracker=browse&fm=organic&iid=d3a03fd0-d40e-490d-a60f-0354a7be05a5.SARGK4DYTGEUPR4E.SEARCH&ppt=None&ppn=None&ssid=vksf13zm5c0000001684822722638,"embellished,bollywood,net,saree"
17,"Embroidered, Woven Daily Wear Georgette Saree",https://www.flipkart.com/matruchhaya-embroidered-woven-daily-wear-georgette-saree/p/itm28efb1e1225ac?pid=SARGGCTHFHXASRZY&lid=LSTSARGGCTHFHXASRZYWSDZLZ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_69&otracker=browse&fm=organic&iid=d3a03fd0-d40e-490d-a60f-0354a7be05a5.SARGGCTHFHXASRZY.SEARCH&ppt=None&ppn=None&ssid=vksf13zm5c0000001684822722638,"embroidered,woven,daily,wear,georgette,saree"
18,Self Design Assam Silk Lycra Blend Saree,https://www.flipkart.com/vaankosh-v-logo-self-design-assam-silk-lycra-blend-saree/p/itm72325ab930708?pid=SARGHGKH8R5NUAUN&lid=LSTSARGHGKH8R5NUAUNUJYRGI&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_73&otracker=browse&fm=organic&iid=d3a03fd0-d40e-490d-a60f-0354a7be05a5.SARGHGKH8R5NUAUN.SEARCH&ppt=None&ppn=None&ssid=vksf13zm5c0000001684822722638,"self,design,assam,silk,lycra,blend,saree"
19,Solid/Plain Bollywood Georgette Saree,https://www.flipkart.com/conveycloth-solid-plain-bollywood-georgette-saree/p/itm6b2ba13656e7a?pid=SARGHV4WVSQSGPJ2&lid=LSTSARGHV4WVSQSGPJ2WC6KVQ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_77&otracker=browse&fm=organic&iid=en_zMLOXeJFWsoVAKnxl6pegFSGmBYNGLpYxEeeMeE%2FAnPC9AJqbWveFWUxObY8jD1ySi93Sk58Pjwx9ZW1MKgv%2BA%3D%3D&ppt=None&ppn=None&ssid=vksf13zm5c0000001684822722638,"solidplain,bollywood,georgette,saree"
